policy id,segment_id,category name,attribute name,value name,policy_type,privacy_policy_link,MAPP_59
49,1,[],[],[],TRAIN,https://onetouchreveal.com/mobile-privacy/country/de-DE/PrivacyPolicy_de-DE.html,True
49,2,['First Party'],"['Legal Basis for Collection', 'Collection Mode (opt)']","['Information Type_Unspecified', 'Purpose_Unspecified', 'Legal Basis for Collection_Consent', 'Collection Mode (opt)_Implicit']",TRAIN,https://onetouchreveal.com/mobile-privacy/country/de-DE/PrivacyPolicy_de-DE.html,True
49,3,[],[],[],TRAIN,https://onetouchreveal.com/mobile-privacy/country/de-DE/PrivacyPolicy_de-DE.html,True
49,4,[],[],[],TRAIN,https://onetouchreveal.com/mobile-privacy/country/de-DE/PrivacyPolicy_de-DE.html,True
49,5,[],['Choice Type (opt)'],['Choice Type (opt)_First-party privacy controls'],TRAIN,https://onetouchreveal.com/mobile-privacy/country/de-DE/PrivacyPolicy_de-DE.html,True
49,6,['First Party'],"['Purpose', 'Collection Process', 'Legal Basis for Collection', 'Collection Mode (opt)']","['Information Type_Unspecified', 'Purpose_Essential service or feature', 'Collection Process_Collected on first-party website/app', 'Collection Process_Other', 'Legal Basis for Collection_Consent', 'Collection Mode (opt)_Explicit']",TRAIN,https://onetouchreveal.com/mobile-privacy/country/de-DE/PrivacyPolicy_de-DE.html,True
49,7,['First Party'],['Information Type'],['Information Type_Contact information'],TRAIN,https://onetouchreveal.com/mobile-privacy/country/de-DE/PrivacyPolicy_de-DE.html,True
49,8,['First Party'],['Information Type'],"['Information Type_Health, genetic, or biometric data']",TRAIN,https://onetouchreveal.com/mobile-privacy/country/de-DE/PrivacyPolicy_de-DE.html,True
49,9,[],['Collection Mode (opt)'],"['Information Type_Unspecified', 'Collection Mode (opt)_Implicit']",TRAIN,https://onetouchreveal.com/mobile-privacy/country/de-DE/PrivacyPolicy_de-DE.html,True
49,10,[],[],[],TRAIN,https://onetouchreveal.com/mobile-privacy/country/de-DE/PrivacyPolicy_de-DE.html,True
49,11,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Collection Process', 'Collection Mode (opt)', 'Third-Party Entity', 'Choice Type (opt)', 'Third-Party Collection Process']","['Information Type_User online activities', 'Information Type_IP address and device IDs', 'Information Type_Computer information', 'Information Type_Other', 'Information Type_Unspecified', 'Purpose_Essential service or feature', 'Purpose_Analytics or research', 'Purpose_Personalization or customization', 'Purpose_Service operation and security', 'Purpose_Other', 'Collection Process_Collected on first-party website/app', 'Collection Mode (opt)_Implicit', 'Third-Party Entity_Unnamed third party', 'Choice Type (opt)_Opt-in', 'Third-Party Collection Process_Shared by first party with a third party', 'Third-Party Collection Process_Other']",TRAIN,https://onetouchreveal.com/mobile-privacy/country/de-DE/PrivacyPolicy_de-DE.html,True
49,12,[],['Choice Type (opt)'],['Choice Type (opt)_Browser/device privacy controls'],TRAIN,https://onetouchreveal.com/mobile-privacy/country/de-DE/PrivacyPolicy_de-DE.html,True
49,13,"['First Party', 'Third Party']","['Information Type', 'Purpose', 'Third-Party Entity', 'Anonymization (opt)']","['Information Type_Health, genetic, or biometric data', 'Information Type_Contact information', 'Information Type_User online activities', 'Information Type_Social media data', 'Information Type_IP address and device IDs', 'Information Type_Other', 'Information Type_Unspecified', 'Purpose_Essential service or feature', 'Purpose_Optional service or feature', 'Purpose_Advertising or marketing', 'Purpose_Analytics or research', 'Purpose_Personalization or customization', 'Purpose_Other', 'Third-Party Entity_Other part of company/affiliate', 'Anonymization (opt)_Aggregated or anonymized']",TRAIN,https://onetouchreveal.com/mobile-privacy/country/de-DE/PrivacyPolicy_de-DE.html,True
